"lang"
{
"Language"	"vietnamese"
"announcer_ann_custom_courier_slain_14"	"Thú vận chuyển của lợn đã bị giết."
"[english]announcer_ann_custom_courier_slain_14"	"Boar's courier has been slain."
"announcer_ann_custom_courier_slain_15"	"Thú vận chuyển của chó đã bị giết."
"[english]announcer_ann_custom_courier_slain_15"	"Dog's courier has been slain."
"announcer_ann_custom_courier_slain_16"	"Thú vận chuyển của rồng đã bị giết."
"[english]announcer_ann_custom_courier_slain_16"	"Dragon's courier has been slain."
"announcer_ann_custom_courier_slain_17"	"Thú vận chuyển của ngựa đã bị giết."
"[english]announcer_ann_custom_courier_slain_17"	"Horse's courier has been slain."
"announcer_ann_custom_courier_slain_18"	"Thú vận chuyển của khỉ đã bị giết."
"[english]announcer_ann_custom_courier_slain_18"	"Monkey's courier has been slain."
"announcer_ann_custom_courier_slain_19"	"Thú vận chuyển của bò đã bị giết."
"[english]announcer_ann_custom_courier_slain_19"	"Ox's courier has been slain."
"announcer_ann_custom_courier_slain_20"	"Thú vận chuyển của thỏ đã bị giết."
"[english]announcer_ann_custom_courier_slain_20"	"Rabbit's courier has been slain."
"announcer_ann_custom_courier_slain_21"	"Thú vận chuyển của dê đã bị giết."
"[english]announcer_ann_custom_courier_slain_21"	"Ram's courier has been slain."
"announcer_ann_custom_courier_slain_22"	"Thú vận chuyển của chuột đã bị giết."
"[english]announcer_ann_custom_courier_slain_22"	"Rat's courier has been slain."
"announcer_ann_custom_courier_slain_23"	"Thú vận chuyển của gà đã bị giết."
"[english]announcer_ann_custom_courier_slain_23"	"Rooster's courier has been slain."
"announcer_ann_custom_courier_slain_24"	"Thú vận chuyển của rắn đã bị giết."
"[english]announcer_ann_custom_courier_slain_24"	"Snake's courier has been slain."
"announcer_ann_custom_courier_slain_25"	"Thú vận chuyển của hổ đã bị giết."
"[english]announcer_ann_custom_courier_slain_25"	"Tiger's courier has been slain."
"announcer_ann_custom_courier_slain_26"	"Thú vận chuyển của bạn đã bị giết."
"[english]announcer_ann_custom_courier_slain_26"	"Your courier has been slain."
"announcer_ann_custom_fortified_01"	"Công trình của mòng két đã được bảo vệ."
"[english]announcer_ann_custom_fortified_01"	"Teal's structures are fortified."
"announcer_ann_custom_fortified_02"	"Công trình của vàng đã được bảo vệ."
"[english]announcer_ann_custom_fortified_02"	"Yellow's structures are fortified."
"announcer_ann_custom_fortified_03"	"Công trình của hồng đã được bảo vệ."
"[english]announcer_ann_custom_fortified_03"	"Pink's structures are fortified."
"announcer_ann_custom_fortified_04"	"Công trình của cam đã được bảo vệ."
"[english]announcer_ann_custom_fortified_04"	"Orange's structures are fortified."
"announcer_ann_custom_fortified_05"	"Công trình của tím đã được bảo vệ."
"[english]announcer_ann_custom_fortified_05"	"Purple's structures are fortified."
"announcer_ann_custom_fortified_06"	"Công trình của xanh biển đã được bảo vệ."
"[english]announcer_ann_custom_fortified_06"	"Blue's structures are fortified."
"announcer_ann_custom_fortified_07"	"Công trình của ô liu đã được bảo vệ."
"[english]announcer_ann_custom_fortified_07"	"Olive's structures are fortified."
"announcer_ann_custom_fortified_08"	"Công trình của nâu đã được bảo vệ."
"[english]announcer_ann_custom_fortified_08"	"Brown's structures are fortified."
"announcer_ann_custom_fortified_09"	"Công trình của xanh lơ đã được bảo vệ."
"[english]announcer_ann_custom_fortified_09"	"Cyan's structures are fortified."
"announcer_ann_custom_fortified_10"	"Công trình của xanh lá đã được bảo vệ."
"[english]announcer_ann_custom_fortified_10"	"Green's structures are fortified."
"announcer_ann_custom_fortified_11"	"Công trình của xám đã được bảo vệ."
"[english]announcer_ann_custom_fortified_11"	"Grey's structures are fortified."
"announcer_ann_custom_fortified_12"	"Công trình của bạc đã được bảo vệ."
"[english]announcer_ann_custom_fortified_12"	"Silver's structures are fortified."
"announcer_ann_custom_fortified_13"	"Công trình của đỏ đã được bảo vệ."
"[english]announcer_ann_custom_fortified_13"	"Red's structures are fortified."
"announcer_ann_custom_fortified_14"	"Công trình của lợn đã được bảo vệ."
"[english]announcer_ann_custom_fortified_14"	"Boar's structures are fortified."
"announcer_ann_custom_fortified_15"	"Công trình của chó đã được bảo vệ."
"[english]announcer_ann_custom_fortified_15"	"Dog's structures are fortified."
"announcer_ann_custom_fortified_16"	"Công trình của rồng đã được bảo vệ."
"[english]announcer_ann_custom_fortified_16"	"Dragon's structures are fortified."
"announcer_ann_custom_fortified_17"	"Công trình của ngựa đã được bảo vệ."
"[english]announcer_ann_custom_fortified_17"	"Horse's structures are fortified."
"announcer_ann_custom_fortified_18"	"Công trình của khỉ đã được bảo vệ."
"[english]announcer_ann_custom_fortified_18"	"Monkey's structures are fortified."
"announcer_ann_custom_fortified_19"	"Công trình của bò đã được bảo vệ."
"[english]announcer_ann_custom_fortified_19"	"Ox's structures are fortified."
"announcer_ann_custom_fortified_20"	"Công trình của thỏ đã được bảo vệ."
"[english]announcer_ann_custom_fortified_20"	"Rabbit's structures are fortified."
"announcer_ann_custom_fortified_21"	"Công trình của dê đã được bảo vệ."
"[english]announcer_ann_custom_fortified_21"	"Ram's structures are fortified."
"announcer_ann_custom_fortified_22"	"Công trình của chuột đã được bảo vệ."
"[english]announcer_ann_custom_fortified_22"	"Rat's structures are fortified."
"announcer_ann_custom_fortified_23"	"Công trình của gà đã được bảo vệ."
"[english]announcer_ann_custom_fortified_23"	"Rooster's structures are fortified."
"announcer_ann_custom_fortified_24"	"Công trình của rắn đã được bảo vệ."
"[english]announcer_ann_custom_fortified_24"	"Snake's structures are fortified."
"announcer_ann_custom_fortified_25"	"Công trình của hổ đã được bảo vệ."
"[english]announcer_ann_custom_fortified_25"	"Tiger's structures are fortified."
"announcer_ann_custom_defeated_01"	"Mòng két đã bị đánh bại."
"[english]announcer_ann_custom_defeated_01"	"Teal has been defeated."
"announcer_ann_custom_defeated_02"	"Vàng đã bị đánh bại."
"[english]announcer_ann_custom_defeated_02"	"Yellow has been defeated."
"announcer_ann_custom_defeated_03"	"Hồng đã bị đánh bại."
"[english]announcer_ann_custom_defeated_03"	"Pink has been defeated."
"announcer_ann_custom_defeated_04"	"Cam đã bị đánh bại."
"[english]announcer_ann_custom_defeated_04"	"Orange has been defeated."
"announcer_ann_custom_defeated_05"	"Tím đã bị đánh bại."
"[english]announcer_ann_custom_defeated_05"	"Purple has been defeated."
"announcer_ann_custom_defeated_06"	"Xanh biển đã bị đánh bại."
"[english]announcer_ann_custom_defeated_06"	"Blue has been defeated."
"announcer_ann_custom_defeated_07"	"Ô-liu đã bị đánh bại."
"[english]announcer_ann_custom_defeated_07"	"Olive has been defeated."
"announcer_ann_custom_defeated_08"	"Nâu đã bị đánh bại."
"[english]announcer_ann_custom_defeated_08"	"Brown has been defeated."
"announcer_ann_custom_defeated_09"	"Xanh lơ đã bị đánh bại."
"[english]announcer_ann_custom_defeated_09"	"Cyan has been defeated."
"announcer_ann_custom_defeated_10"	"Xanh lá đã bị đánh bại."
"[english]announcer_ann_custom_defeated_10"	"Green has been defeated."
"announcer_ann_custom_defeated_11"	"Xám đã bị đánh bại."
"[english]announcer_ann_custom_defeated_11"	"Grey has been defeated."
"announcer_ann_custom_defeated_12"	"Bạc đã bị đánh bại."
"[english]announcer_ann_custom_defeated_12"	"Silver has been defeated."
"announcer_ann_custom_defeated_13"	"Đỏ đã bị đánh bại."
"[english]announcer_ann_custom_defeated_13"	"Red has been defeated."
"announcer_ann_custom_defeated_14"	"Lợn đã bị đánh bại."
"[english]announcer_ann_custom_defeated_14"	"Boar has been defeated."
"announcer_ann_custom_defeated_15"	"Chó đã bị đánh bại."
"[english]announcer_ann_custom_defeated_15"	"Dog has been defeated."
"announcer_ann_custom_defeated_16"	"Rồng đã bị đánh bại."
"[english]announcer_ann_custom_defeated_16"	"Dragon has been defeated."
"announcer_ann_custom_defeated_17"	"Ngựa đã bị đánh bại."
"[english]announcer_ann_custom_defeated_17"	"Horse has been defeated."
"announcer_ann_custom_defeated_18"	"Khỉ đã bị đánh bại."
"[english]announcer_ann_custom_defeated_18"	"Monkey has been defeated."
"announcer_ann_custom_defeated_19"	"Bò đã bị đánh bại."
"[english]announcer_ann_custom_defeated_19"	"Ox has been defeated."
"announcer_ann_custom_defeated_20"	"Thỏ đã bị đánh bại."
"[english]announcer_ann_custom_defeated_20"	"Rabbit has been defeated."
"announcer_ann_custom_defeated_21"	"Dê đã bị đánh bại."
"[english]announcer_ann_custom_defeated_21"	"Ram has been defeated."
"announcer_ann_custom_defeated_22"	"Chuột đã bị đánh bại."
"[english]announcer_ann_custom_defeated_22"	"Rat has been defeated."
"announcer_ann_custom_defeated_23"	"Gà đã bị đánh bại."
"[english]announcer_ann_custom_defeated_23"	"Rooster has been defeated."
"announcer_ann_custom_defeated_24"	"Rắn đã bị đánh bại."
"[english]announcer_ann_custom_defeated_24"	"Snake has been defeated."
"announcer_ann_custom_defeated_25"	"Hổ đã bị đánh bại."
"[english]announcer_ann_custom_defeated_25"	"Tiger has been defeated."
"announcer_ann_custom_defeated_26"	"Bạn đã bị đánh bại."
"[english]announcer_ann_custom_defeated_26"	"You have been defeated."
"announcer_ann_custom_victorious_01"	"Mòng két đã giành chiến thắng!"
"[english]announcer_ann_custom_victorious_01"	"Teal is victorious!"
"announcer_ann_custom_victorious_02"	"Vàng đã giành chiến thắng!"
"[english]announcer_ann_custom_victorious_02"	"Yellow is victorious!"
"announcer_ann_custom_victorious_03"	"Hồng đã giành chiến thắng!"
"[english]announcer_ann_custom_victorious_03"	"Pink is victorious!"
"announcer_ann_custom_victorious_04"	"Cam đã giành chiến thắng!"
"[english]announcer_ann_custom_victorious_04"	"Orange is victorious!"
"announcer_ann_custom_victorious_05"	"Tím đã giành chiến thắng!"
"[english]announcer_ann_custom_victorious_05"	"Purple is victorious!"
"announcer_ann_custom_victorious_06"	"Xanh biển đã giành chiến thắng!"
"[english]announcer_ann_custom_victorious_06"	"Blue is victorious!"
"announcer_ann_custom_victorious_07"	"Ô liu đã giành chiến thắng!"
"[english]announcer_ann_custom_victorious_07"	"Olive is victorious!"
"announcer_ann_custom_victorious_08"	"Nâu đã giành chiến thắng!"
"[english]announcer_ann_custom_victorious_08"	"Brown is victorious!"
"announcer_ann_custom_victorious_09"	"Xanh lơ đã giành chiến thắng!"
"[english]announcer_ann_custom_victorious_09"	"Cyan is victorious!"
"announcer_ann_custom_victorious_10"	"Xanh lá đã giành chiến thắng!"
"[english]announcer_ann_custom_victorious_10"	"Green is victorious!"
"announcer_ann_custom_victorious_11"	"Xám đã giành chiến thắng!"
"[english]announcer_ann_custom_victorious_11"	"Grey is victorious!"
"announcer_ann_custom_victorious_12"	"Bạc đã giành chiến thắng!"
"[english]announcer_ann_custom_victorious_12"	"Silver is victorious!"
"announcer_ann_custom_victorious_13"	"Đỏ đã giành chiến thắng!"
"[english]announcer_ann_custom_victorious_13"	"Red is victorious!"
"announcer_ann_custom_victorious_14"	"Lợn đã giành chiến thắng!"
"[english]announcer_ann_custom_victorious_14"	"Boar is victorious!"
"announcer_ann_custom_victorious_15"	"Chó đã giành chiến thắng!"
"[english]announcer_ann_custom_victorious_15"	"Dog is victorious!"
"announcer_ann_custom_victorious_16"	"Rồng đã giành chiến thắng!"
"[english]announcer_ann_custom_victorious_16"	"Dragon is victorious!"
"announcer_ann_custom_victorious_17"	"Ngựa đã giành chiến thắng!"
"[english]announcer_ann_custom_victorious_17"	"Horse is victorious!"
"announcer_ann_custom_victorious_18"	"Khỉ đã giành chiến thắng!"
"[english]announcer_ann_custom_victorious_18"	"Monkey is victorious!"
"announcer_ann_custom_victorious_19"	"Bò đã giành chiến thắng!"
"[english]announcer_ann_custom_victorious_19"	"Ox is victorious!"
"announcer_ann_custom_victorious_20"	"Thỏ đã giành chiến thắng!"
"[english]announcer_ann_custom_victorious_20"	"Rabbit is victorious!"
"announcer_ann_custom_victorious_21"	"Dê đã giành chiến thắng!"
"[english]announcer_ann_custom_victorious_21"	"Ram is victorious!"
"announcer_ann_custom_victorious_22"	"Chuột đã giành chiến thắng!"
"[english]announcer_ann_custom_victorious_22"	"Rat is victorious!"
"announcer_ann_custom_victorious_23"	"Gà đã giành chiến thắng!"
"[english]announcer_ann_custom_victorious_23"	"Rooster is victorious!"
"announcer_ann_custom_victorious_24"	"Rắn đã giành chiến thắng!"
"[english]announcer_ann_custom_victorious_24"	"Snake is victorious!"
"announcer_ann_custom_victorious_25"	"Hổ đã giành chiến thắng!"
"[english]announcer_ann_custom_victorious_25"	"Tiger is victorious!"
"announcer_ann_custom_victory_01"	"Mòng két chiến thắng!"
"[english]announcer_ann_custom_victory_01"	"Teal victory!"
"announcer_ann_custom_victory_02"	"Vàng chiến thắng!"
"[english]announcer_ann_custom_victory_02"	"Yellow victory!"
"announcer_ann_custom_victory_03"	"Hồng chiến thắng!"
"[english]announcer_ann_custom_victory_03"	"Pink victory!"
"announcer_ann_custom_victory_04"	"Cam chiến thắng!"
"[english]announcer_ann_custom_victory_04"	"Orange victory!"
"announcer_ann_custom_victory_05"	"Tím chiến thắng!"
"[english]announcer_ann_custom_victory_05"	"Purple victory!"
"announcer_ann_custom_victory_06"	"Xanh biển chiến thắng!"
"[english]announcer_ann_custom_victory_06"	"Blue victory!"
"announcer_ann_custom_victory_07"	"Ô liu chiến thắng!"
"[english]announcer_ann_custom_victory_07"	"Olive victory!"
"announcer_ann_custom_victory_08"	"Nâu chiến thắng!"
"[english]announcer_ann_custom_victory_08"	"Brown victory!"
"announcer_ann_custom_victory_09"	"Xanh lơ chiến thắng!"
"[english]announcer_ann_custom_victory_09"	"Cyan victory!"
"announcer_ann_custom_victory_10"	"Xanh lá chiến thắng!"
"[english]announcer_ann_custom_victory_10"	"Green victory!"
"announcer_ann_custom_victory_11"	"Xám chiến thắng!"
"[english]announcer_ann_custom_victory_11"	"Grey victory!"
"announcer_ann_custom_victory_12"	"Bạc chiến thắng!"
"[english]announcer_ann_custom_victory_12"	"Silver victory!"
"announcer_ann_custom_victory_13"	"Đỏ chiến thắng!"
"[english]announcer_ann_custom_victory_13"	"Red victory!"
"announcer_ann_custom_victory_14"	"Lợn chiến thắng!"
"[english]announcer_ann_custom_victory_14"	"Boar victory!"
"announcer_ann_custom_victory_15"	"Chó chiến thắng!"
"[english]announcer_ann_custom_victory_15"	"Dog victory!"
"announcer_ann_custom_victory_16"	"Rồng chiến thắng!"
"[english]announcer_ann_custom_victory_16"	"Dragon victory!"
"announcer_ann_custom_victory_17"	"Ngựa chiến thắng!"
"[english]announcer_ann_custom_victory_17"	"Horse victory!"
"announcer_ann_custom_victory_18"	"Khỉ chiến thắng!"
"[english]announcer_ann_custom_victory_18"	"Monkey victory!"
"announcer_ann_custom_victory_19"	"Bò chiến thắng!"
"[english]announcer_ann_custom_victory_19"	"Ox victory!"
"announcer_ann_custom_victory_20"	"Thỏ chiến thắng!"
"[english]announcer_ann_custom_victory_20"	"Rabbit victory!"
"announcer_ann_custom_victory_21"	"Dê chiến thắng!"
"[english]announcer_ann_custom_victory_21"	"Ram victory!"
"announcer_ann_custom_victory_22"	"Chuột chiến thắng!"
"[english]announcer_ann_custom_victory_22"	"Rat victory!"
"announcer_ann_custom_victory_23"	"Gà chiến thắng!"
"[english]announcer_ann_custom_victory_23"	"Rooster victory!"
"announcer_ann_custom_victory_24"	"Rắn chiến thắng!"
"[english]announcer_ann_custom_victory_24"	"Snake victory!"
"announcer_ann_custom_victory_25"	"Hổ chiến thắng!"
"[english]announcer_ann_custom_victory_25"	"Tiger victory!"
"announcer_announcer_scan_rad_01"	"Radiant đang quét tìm kẻ địch."
"[english]announcer_announcer_scan_rad_01"	"Radiant are scanning for enemies."
"announcer_announcer_scan_dire_01"	"Dire đang quét tìm kẻ địch."
"[english]announcer_announcer_scan_dire_01"	"Dire are scanning for enemies."
"announcer_ann_ti6_teamnameban_01"	"Đến lượt cấm của OG."
"[english]announcer_ann_ti6_teamnameban_01"	"OG's turn to ban."
"announcer_ann_ti6_teamnameban_02"	"Đến lượt cấm của Team Liquid."
"[english]announcer_ann_ti6_teamnameban_02"	"Team Liquid's turn to ban."
"announcer_ann_ti6_teamnameban_03"	"Đến lượt cấm của Liquid. "
"[english]announcer_ann_ti6_teamnameban_03"	"Liquid's turn to ban. "
"announcer_ann_ti6_teamnameban_04"	"Đến lượt cấm của NewBee."
"[english]announcer_ann_ti6_teamnameban_04"	"NewBee's turn to ban."
"announcer_ann_ti6_teamnameban_05"	"Đến lượt cấm của LGD."
"[english]announcer_ann_ti6_teamnameban_05"	"LGD's turn to ban."
"announcer_ann_ti6_teamnameban_06"	"Đến lượt cấm của LGD Gaming."
"[english]announcer_ann_ti6_teamnameban_06"	"LGD Gaming's turn to ban."
"announcer_ann_ti6_teamnameban_07"	"Lượt cấm của MVP Phoenix."
"[english]announcer_ann_ti6_teamnameban_07"	"MVP Phoenix's turn to ban."
"announcer_ann_ti6_teamnameban_08"	"Lượt cấm của MVP."
"[english]announcer_ann_ti6_teamnameban_08"	"MVP's turn to ban."
"announcer_ann_ti6_teamnameban_09"	"Lượt cấm của Na'Vi. "
"[english]announcer_ann_ti6_teamnameban_09"	"Na'Vi's turn to ban. "
"announcer_ann_ti6_teamnameban_10"	"Lượt cấm của Natus Vincere."
"[english]announcer_ann_ti6_teamnameban_10"	"Natus Vincere's turn to ban."
"announcer_ann_ti6_teamnameban_11"	"Lượt cấm của Team Secret."
"[english]announcer_ann_ti6_teamnameban_11"	"Team Secret's turn to ban."
"announcer_ann_ti6_teamnameban_12"	"Lượt cấm của Secret."
"[english]announcer_ann_ti6_teamnameban_12"	"Secret's turn to ban."
"announcer_ann_ti6_teamnameban_13"	"Lượt cấm của Alliance."
"[english]announcer_ann_ti6_teamnameban_13"	"Alliance's turn to ban."
"announcer_ann_ti6_teamnameban_14"	"Lượt cấm của Wings Gaming."
"[english]announcer_ann_ti6_teamnameban_14"	"Wings Gaming's turn to ban."
"announcer_ann_ti6_teamnameban_15"	"Lượt cấm của Vici Gaming Reborn."
"[english]announcer_ann_ti6_teamnameban_15"	"Vici Gaming Reborn's turn to ban."
"announcer_ann_ti6_teamnameban_16"	"Lượt cấm của VGR."
"[english]announcer_ann_ti6_teamnameban_16"	"VGR's turn to ban."
"announcer_ann_ti6_teamnameban_17"	"Lượt cấm của TNC Pro Team."
"[english]announcer_ann_ti6_teamnameban_17"	"TNC Pro Team's turn to ban."
"announcer_ann_ti6_teamnameban_18"	"Lượt cấm của TNC."
"[english]announcer_ann_ti6_teamnameban_18"	"TNC's turn to ban."
"announcer_ann_ti6_teamnameban_19"	"Lượt cấm của Fnatic."
"[english]announcer_ann_ti6_teamnameban_19"	"Fnatic's turn to ban."
"announcer_ann_ti6_teamnameban_20"	"Lượt cấm của Evil Geniuses."
"[english]announcer_ann_ti6_teamnameban_20"	"Evil Geniuses' turn to ban."
"announcer_ann_ti6_teamnameban_21"	"Lượt cấm của EG."
"[english]announcer_ann_ti6_teamnameban_21"	"EG's turn to ban."
"announcer_ann_ti6_teamnameban_22"	"Lượt cấm của DC."
"[english]announcer_ann_ti6_teamnameban_22"	"DC's turn to ban."
"announcer_ann_ti6_teamnameban_23"	"Lượt cấm của Complexity Gaming."
"[english]announcer_ann_ti6_teamnameban_23"	"Complexity Gaming's turn to ban."
"announcer_ann_ti6_teamnameban_24"	"Lượt cấm của Complexity."
"[english]announcer_ann_ti6_teamnameban_24"	"Complexity's turn to ban."
"announcer_ann_ti6_teamnameban_25"	"Lượt cấm của EHOME."
"[english]announcer_ann_ti6_teamnameban_25"	"EHOME's turn to ban."
"announcer_ann_ti6_teamnameban_26"	"Lượt cấm của Escape Gaming."
"[english]announcer_ann_ti6_teamnameban_26"	"Escape Gaming's turn to ban."
"announcer_ann_ti6_teamnameban_27"	"Lượt cấm của Execration."
"[english]announcer_ann_ti6_teamnameban_27"	"Execration's turn to ban. "
"announcer_ann_ti6_teamnamepick_01"	"Đến lượt chọn của OG."
"[english]announcer_ann_ti6_teamnamepick_01"	"OG's turn to pick."
"announcer_ann_ti6_teamnamepick_02"	"Đến lượt chọn của Team Liquid."
"[english]announcer_ann_ti6_teamnamepick_02"	"Team Liquid's turn to pick."
"announcer_ann_ti6_teamnamepick_03"	"Đến lượt chọn của Liquid. "
"[english]announcer_ann_ti6_teamnamepick_03"	"Liquid's turn to pick. "
"announcer_ann_ti6_teamnamepick_04"	"Đến lượt chọn của NewBee."
"[english]announcer_ann_ti6_teamnamepick_04"	"NewBee's turn to pick."
"announcer_ann_ti6_teamnamepick_05"	"Đến lượt chọn của LGD."
"[english]announcer_ann_ti6_teamnamepick_05"	"LGD's turn to pick."
"announcer_ann_ti6_teamnamepick_06"	"Đến lượt chọn của LGD Gaming."
"[english]announcer_ann_ti6_teamnamepick_06"	"LGD Gaming's turn to pick."
"announcer_ann_ti6_teamnamepick_07"	"Đến lượt chọn của MVP Phoenix."
"[english]announcer_ann_ti6_teamnamepick_07"	"MVP Phoenix's turn to pick."
"announcer_ann_ti6_teamnamepick_08"	"Đến lượt chọn của MVP."
"[english]announcer_ann_ti6_teamnamepick_08"	"MVP's turn to pick."
"announcer_ann_ti6_teamnamepick_09"	"Đến lượt chọn của Na'Vi. "
"[english]announcer_ann_ti6_teamnamepick_09"	"Na'Vi's turn to pick. "
"announcer_ann_ti6_teamnamepick_10"	"Đến lượt chọn của Natus Vincere."
"[english]announcer_ann_ti6_teamnamepick_10"	"Natus Vincere's turn to pick."
"announcer_ann_ti6_teamnamepick_11"	"Đến lượt chọn của Team Secret."
"[english]announcer_ann_ti6_teamnamepick_11"	"Team Secret's turn to pick."
"announcer_ann_ti6_teamnamepick_12"	"Đến lượt chọn của Secret."
"[english]announcer_ann_ti6_teamnamepick_12"	"Secret's turn to pick."
"announcer_ann_ti6_teamnamepick_13"	"Đến lượt chọn của Alliance."
"[english]announcer_ann_ti6_teamnamepick_13"	"Alliance's turn to pick."
"announcer_ann_ti6_teamnamepick_14"	"Đến lượt chọn của Wings Gaming."
"[english]announcer_ann_ti6_teamnamepick_14"	"Wings Gaming's turn to pick."
"announcer_ann_ti6_teamnamepick_15"	"Đến lượt chọn của Vici Gaming Reborn."
"[english]announcer_ann_ti6_teamnamepick_15"	"Vici Gaming Reborn's turn to pick."
"announcer_ann_ti6_teamnamepick_16"	"Đến lượt chọn của VGR."
"[english]announcer_ann_ti6_teamnamepick_16"	"VGR's turn to pick."
"announcer_ann_ti6_teamnamepick_17"	"Đến lượt chọn của TNC Pro Team."
"[english]announcer_ann_ti6_teamnamepick_17"	"TNC Pro Team's turn to pick."
"announcer_ann_ti6_teamnamepick_18"	"Đến lượt chọn của TNC."
"[english]announcer_ann_ti6_teamnamepick_18"	"TNC's turn to pick."
"announcer_ann_ti6_teamnamepick_19"	"Đến lượt chọn của Fnatic."
"[english]announcer_ann_ti6_teamnamepick_19"	"Fnatic's turn to pick."
"announcer_ann_ti6_teamnamepick_20"	"Đến lượt chọn của Evil Geniuses."
"[english]announcer_ann_ti6_teamnamepick_20"	"Evil Geniuses' turn to pick."
"announcer_ann_ti6_teamnamepick_21"	"Đến lượt chọn của EG."
"[english]announcer_ann_ti6_teamnamepick_21"	"EG's turn to pick."
"announcer_ann_ti6_teamnamepick_22"	"Đến lượt chọn của DC."
"[english]announcer_ann_ti6_teamnamepick_22"	"DC's turn to pick."
"announcer_ann_ti6_teamnamepick_23"	"Đến lượt chọn của Complexity Gaming."
"[english]announcer_ann_ti6_teamnamepick_23"	"Complexity Gaming's turn to pick."
"announcer_ann_ti6_teamnamepick_24"	"Đến lượt chọn của Complexity."
"[english]announcer_ann_ti6_teamnamepick_24"	"Complexity's turn to pick."
"announcer_ann_ti6_teamnamepick_25"	"Đến lượt chọn của EHOME."
"[english]announcer_ann_ti6_teamnamepick_25"	"EHOME's turn to pick."
"announcer_ann_ti6_teamnamepick_26"	"Đến lượt chọn của Escape Gaming."
"[english]announcer_ann_ti6_teamnamepick_26"	"Escape Gaming's turn to pick."
"announcer_ann_ti6_teamnamepick_27"	"Đến lượt chọn của Execration. "
"[english]announcer_ann_ti6_teamnamepick_27"	"Execration's turn to pick. "
"announcer_ann_ti6_teamnamewin_01"	"OG chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_01"	"OG victory!"
"announcer_ann_ti6_teamnamewin_02"	"Team Liquid chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_02"	"Team Liquid victory!"
"announcer_ann_ti6_teamnamewin_03"	"Liquid chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_03"	"Liquid victory!"
"announcer_ann_ti6_teamnamewin_04"	"NewBee chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_04"	"NewBee victory!"
"announcer_ann_ti6_teamnamewin_05"	"LGD Gaming chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_05"	"LGD Gaming victory!"
"announcer_ann_ti6_teamnamewin_06"	"LGD chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_06"	"LGD victory!"
"announcer_ann_ti6_teamnamewin_07"	"MVP Phoenix chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_07"	"MVP Phoenix victory!"
"announcer_ann_ti6_teamnamewin_08"	"MVP chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_08"	"MVP victory!"
"announcer_ann_ti6_teamnamewin_09"	"Na'Vi chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_09"	"Na'Vi victory!"
"announcer_ann_ti6_teamnamewin_10"	"Natus Vincere chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_10"	"Natus Vincere victory!"
"announcer_ann_ti6_teamnamewin_11"	"Team Secret chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_11"	"Team Secret victory!"
"announcer_ann_ti6_teamnamewin_12"	"Secret chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_12"	"Secret victory!"
"announcer_ann_ti6_teamnamewin_13"	"Alliance chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_13"	"Alliance victory!"
"announcer_ann_ti6_teamnamewin_14"	"Wings Gaming chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_14"	"Wings Gaming victory!"
"announcer_ann_ti6_teamnamewin_15"	"Wings chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_15"	"Wings victory!"
"announcer_ann_ti6_teamnamewin_16"	"Vici Gaming Reborn chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_16"	"Vici Gaming Reborn victory!"
"announcer_ann_ti6_teamnamewin_17"	"VGR chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_17"	"VGR victory!"
"announcer_ann_ti6_teamnamewin_18"	"TNC Pro Team chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_18"	"TNC Pro Team victory!"
"announcer_ann_ti6_teamnamewin_19"	"TNC chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_19"	"TNC victory!"
"announcer_ann_ti6_teamnamewin_20"	"Fnatic chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_20"	"Fnatic victory!"
"announcer_ann_ti6_teamnamewin_21"	"Evil Geniuses chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_21"	"Evil Geniuses victory!"
"announcer_ann_ti6_teamnamewin_22"	"EG chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_22"	"EG victory!"
"announcer_ann_ti6_teamnamewin_23"	"Digital Chaos chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_23"	"Digital Chaos victory!"
"announcer_ann_ti6_teamnamewin_24"	"DC chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_24"	"DC victory!"
"announcer_ann_ti6_teamnamewin_25"	"Complexity Gaming chiến thắng!"
"[english]announcer_ann_ti6_teamnamewin_25"	"Complexity Gaming victory!"
