"lang"
{
"Language"	"finnish"
"announcer_ann_custom_courier_slain_16"	"Dragon's courier has been slain."
"[english]announcer_ann_custom_courier_slain_16"	"Dragon's courier has been slain."
"announcer_ann_custom_courier_slain_17"	"Horse's courier has been slain."
"[english]announcer_ann_custom_courier_slain_17"	"Horse's courier has been slain."
"announcer_ann_custom_courier_slain_18"	"Monkey's courier has been slain."
"[english]announcer_ann_custom_courier_slain_18"	"Monkey's courier has been slain."
"announcer_ann_custom_courier_slain_19"	"Ox's courier has been slain."
"[english]announcer_ann_custom_courier_slain_19"	"Ox's courier has been slain."
"announcer_ann_custom_courier_slain_20"	"Rabbit's courier has been slain."
"[english]announcer_ann_custom_courier_slain_20"	"Rabbit's courier has been slain."
"announcer_ann_custom_courier_slain_21"	"Ram's courier has been slain."
"[english]announcer_ann_custom_courier_slain_21"	"Ram's courier has been slain."
"announcer_ann_custom_courier_slain_22"	"Rat's courier has been slain."
"[english]announcer_ann_custom_courier_slain_22"	"Rat's courier has been slain."
"announcer_ann_custom_courier_slain_23"	"Rooster's courier has been slain."
"[english]announcer_ann_custom_courier_slain_23"	"Rooster's courier has been slain."
"announcer_ann_custom_courier_slain_24"	"Snake's courier has been slain."
"[english]announcer_ann_custom_courier_slain_24"	"Snake's courier has been slain."
"announcer_ann_custom_courier_slain_25"	"Tiger's courier has been slain."
"[english]announcer_ann_custom_courier_slain_25"	"Tiger's courier has been slain."
"announcer_ann_custom_courier_slain_26"	"Your courier has been slain."
"[english]announcer_ann_custom_courier_slain_26"	"Your courier has been slain."
"announcer_ann_custom_fortified_01"	"Teal's structures are fortified."
"[english]announcer_ann_custom_fortified_01"	"Teal's structures are fortified."
"announcer_ann_custom_fortified_02"	"Yellow's structures are fortified."
"[english]announcer_ann_custom_fortified_02"	"Yellow's structures are fortified."
"announcer_ann_custom_fortified_03"	"Pink's structures are fortified."
"[english]announcer_ann_custom_fortified_03"	"Pink's structures are fortified."
"announcer_ann_custom_fortified_04"	"Orange's structures are fortified."
"[english]announcer_ann_custom_fortified_04"	"Orange's structures are fortified."
"announcer_ann_custom_fortified_05"	"Purple's structures are fortified."
"[english]announcer_ann_custom_fortified_05"	"Purple's structures are fortified."
"announcer_ann_custom_fortified_06"	"Blue's structures are fortified."
"[english]announcer_ann_custom_fortified_06"	"Blue's structures are fortified."
"announcer_ann_custom_fortified_07"	"Olive's structures are fortified."
"[english]announcer_ann_custom_fortified_07"	"Olive's structures are fortified."
"announcer_ann_custom_fortified_08"	"Brown's structures are fortified."
"[english]announcer_ann_custom_fortified_08"	"Brown's structures are fortified."
"announcer_ann_custom_fortified_09"	"Cyan's structures are fortified."
"[english]announcer_ann_custom_fortified_09"	"Cyan's structures are fortified."
"announcer_ann_custom_fortified_10"	"Green's structures are fortified."
"[english]announcer_ann_custom_fortified_10"	"Green's structures are fortified."
"announcer_ann_custom_fortified_11"	"Grey's structures are fortified."
"[english]announcer_ann_custom_fortified_11"	"Grey's structures are fortified."
"announcer_ann_custom_fortified_12"	"Silver's structures are fortified."
"[english]announcer_ann_custom_fortified_12"	"Silver's structures are fortified."
"announcer_ann_custom_fortified_13"	"Red's structures are fortified."
"[english]announcer_ann_custom_fortified_13"	"Red's structures are fortified."
"announcer_ann_custom_fortified_14"	"Boar's structures are fortified."
"[english]announcer_ann_custom_fortified_14"	"Boar's structures are fortified."
"announcer_ann_custom_fortified_15"	"Dog's structures are fortified."
"[english]announcer_ann_custom_fortified_15"	"Dog's structures are fortified."
"announcer_ann_custom_fortified_16"	"Dragon's structures are fortified."
"[english]announcer_ann_custom_fortified_16"	"Dragon's structures are fortified."
"announcer_ann_custom_fortified_17"	"Horse's structures are fortified."
"[english]announcer_ann_custom_fortified_17"	"Horse's structures are fortified."
"announcer_ann_custom_fortified_18"	"Monkey's structures are fortified."
"[english]announcer_ann_custom_fortified_18"	"Monkey's structures are fortified."
"announcer_ann_custom_fortified_19"	"Ox's structures are fortified."
"[english]announcer_ann_custom_fortified_19"	"Ox's structures are fortified."
"announcer_ann_custom_fortified_20"	"Rabbit's structures are fortified."
"[english]announcer_ann_custom_fortified_20"	"Rabbit's structures are fortified."
"announcer_ann_custom_fortified_21"	"Ram's structures are fortified."
"[english]announcer_ann_custom_fortified_21"	"Ram's structures are fortified."
"announcer_ann_custom_fortified_22"	"Rat's structures are fortified."
"[english]announcer_ann_custom_fortified_22"	"Rat's structures are fortified."
"announcer_ann_custom_fortified_23"	"Rooster's structures are fortified."
"[english]announcer_ann_custom_fortified_23"	"Rooster's structures are fortified."
"announcer_ann_custom_fortified_24"	"Snake's structures are fortified."
"[english]announcer_ann_custom_fortified_24"	"Snake's structures are fortified."
"announcer_ann_custom_fortified_25"	"Tiger's structures are fortified."
"[english]announcer_ann_custom_fortified_25"	"Tiger's structures are fortified."
"announcer_ann_custom_defeated_01"	"Teal has been defeated."
"[english]announcer_ann_custom_defeated_01"	"Teal has been defeated."
"announcer_ann_custom_defeated_02"	"Yellow has been defeated."
"[english]announcer_ann_custom_defeated_02"	"Yellow has been defeated."
"announcer_ann_custom_defeated_03"	"Pink has been defeated."
"[english]announcer_ann_custom_defeated_03"	"Pink has been defeated."
"announcer_ann_custom_defeated_04"	"Orange has been defeated."
"[english]announcer_ann_custom_defeated_04"	"Orange has been defeated."
"announcer_ann_custom_defeated_05"	"Purple has been defeated."
"[english]announcer_ann_custom_defeated_05"	"Purple has been defeated."
"announcer_ann_custom_defeated_06"	"Blue has been defeated."
"[english]announcer_ann_custom_defeated_06"	"Blue has been defeated."
"announcer_ann_custom_defeated_07"	"Olive has been defeated."
"[english]announcer_ann_custom_defeated_07"	"Olive has been defeated."
"announcer_ann_custom_defeated_08"	"Brown has been defeated."
"[english]announcer_ann_custom_defeated_08"	"Brown has been defeated."
"announcer_ann_custom_defeated_09"	"Cyan has been defeated."
"[english]announcer_ann_custom_defeated_09"	"Cyan has been defeated."
"announcer_ann_custom_defeated_10"	"Green has been defeated."
"[english]announcer_ann_custom_defeated_10"	"Green has been defeated."
"announcer_ann_custom_defeated_11"	"Grey has been defeated."
"[english]announcer_ann_custom_defeated_11"	"Grey has been defeated."
"announcer_ann_custom_defeated_12"	"Silver has been defeated."
"[english]announcer_ann_custom_defeated_12"	"Silver has been defeated."
"announcer_ann_custom_defeated_13"	"Red has been defeated."
"[english]announcer_ann_custom_defeated_13"	"Red has been defeated."
"announcer_ann_custom_defeated_14"	"Boar has been defeated."
"[english]announcer_ann_custom_defeated_14"	"Boar has been defeated."
"announcer_ann_custom_defeated_15"	"Dog has been defeated."
"[english]announcer_ann_custom_defeated_15"	"Dog has been defeated."
"announcer_ann_custom_defeated_16"	"Dragon has been defeated."
"[english]announcer_ann_custom_defeated_16"	"Dragon has been defeated."
"announcer_ann_custom_defeated_17"	"Horse has been defeated."
"[english]announcer_ann_custom_defeated_17"	"Horse has been defeated."
"announcer_ann_custom_defeated_18"	"Monkey has been defeated."
"[english]announcer_ann_custom_defeated_18"	"Monkey has been defeated."
"announcer_ann_custom_defeated_19"	"Ox has been defeated."
"[english]announcer_ann_custom_defeated_19"	"Ox has been defeated."
"announcer_ann_custom_defeated_20"	"Rabbit has been defeated."
"[english]announcer_ann_custom_defeated_20"	"Rabbit has been defeated."
"announcer_ann_custom_defeated_21"	"Ram has been defeated."
"[english]announcer_ann_custom_defeated_21"	"Ram has been defeated."
"announcer_ann_custom_defeated_22"	"Rat has been defeated."
"[english]announcer_ann_custom_defeated_22"	"Rat has been defeated."
"announcer_ann_custom_defeated_23"	"Rooster has been defeated."
"[english]announcer_ann_custom_defeated_23"	"Rooster has been defeated."
"announcer_ann_custom_defeated_24"	"Snake has been defeated."
"[english]announcer_ann_custom_defeated_24"	"Snake has been defeated."
"announcer_ann_custom_defeated_25"	"Tiger has been defeated."
"[english]announcer_ann_custom_defeated_25"	"Tiger has been defeated."
"announcer_ann_custom_defeated_26"	"You have been defeated."
"[english]announcer_ann_custom_defeated_26"	"You have been defeated."
"announcer_ann_custom_victorious_01"	"Teal is victorious!"
"[english]announcer_ann_custom_victorious_01"	"Teal is victorious!"
"announcer_ann_custom_victorious_02"	"Yellow is victorious!"
"[english]announcer_ann_custom_victorious_02"	"Yellow is victorious!"
"announcer_ann_custom_victorious_03"	"Pink is victorious!"
"[english]announcer_ann_custom_victorious_03"	"Pink is victorious!"
"announcer_ann_custom_victorious_04"	"Orange is victorious!"
"[english]announcer_ann_custom_victorious_04"	"Orange is victorious!"
"announcer_ann_custom_victorious_05"	"Purple is victorious!"
"[english]announcer_ann_custom_victorious_05"	"Purple is victorious!"
"announcer_ann_custom_victorious_06"	"Blue is victorious!"
"[english]announcer_ann_custom_victorious_06"	"Blue is victorious!"
"announcer_ann_custom_victorious_07"	"Olive is victorious!"
"[english]announcer_ann_custom_victorious_07"	"Olive is victorious!"
"announcer_ann_custom_victorious_08"	"Brown is victorious!"
"[english]announcer_ann_custom_victorious_08"	"Brown is victorious!"
"announcer_ann_custom_victorious_09"	"Cyan is victorious!"
"[english]announcer_ann_custom_victorious_09"	"Cyan is victorious!"
"announcer_ann_custom_victorious_10"	"Green is victorious!"
"[english]announcer_ann_custom_victorious_10"	"Green is victorious!"
"announcer_ann_custom_victorious_11"	"Grey is victorious!"
"[english]announcer_ann_custom_victorious_11"	"Grey is victorious!"
"announcer_ann_custom_victorious_12"	"Silver is victorious!"
"[english]announcer_ann_custom_victorious_12"	"Silver is victorious!"
"announcer_ann_custom_victorious_13"	"Red is victorious!"
"[english]announcer_ann_custom_victorious_13"	"Red is victorious!"
"announcer_ann_custom_victorious_14"	"Boar voittaa!"
"[english]announcer_ann_custom_victorious_14"	"Boar is victorious!"
"announcer_ann_custom_victorious_15"	"Dog voittaa!"
"[english]announcer_ann_custom_victorious_15"	"Dog is victorious!"
"announcer_ann_custom_victorious_16"	"Dragon voittaa!"
"[english]announcer_ann_custom_victorious_16"	"Dragon is victorious!"
"announcer_ann_custom_victorious_17"	"Horse voittaa!"
"[english]announcer_ann_custom_victorious_17"	"Horse is victorious!"
"announcer_ann_custom_victorious_18"	"Monkey voittaa!"
"[english]announcer_ann_custom_victorious_18"	"Monkey is victorious!"
"announcer_ann_custom_victorious_19"	"Ox voittaa!"
"[english]announcer_ann_custom_victorious_19"	"Ox is victorious!"
"announcer_ann_custom_victorious_20"	"Rabbit voittaa!"
"[english]announcer_ann_custom_victorious_20"	"Rabbit is victorious!"
"announcer_ann_custom_victorious_21"	"Ram voittaa!"
"[english]announcer_ann_custom_victorious_21"	"Ram is victorious!"
"announcer_ann_custom_victorious_22"	"Rat voittaa!"
"[english]announcer_ann_custom_victorious_22"	"Rat is victorious!"
"announcer_ann_custom_victorious_23"	"Rooster voittaa!"
"[english]announcer_ann_custom_victorious_23"	"Rooster is victorious!"
"announcer_ann_custom_victorious_24"	"Snake voittaa!"
"[english]announcer_ann_custom_victorious_24"	"Snake is victorious!"
"announcer_ann_custom_victorious_25"	"Tiger voittaa!"
"[english]announcer_ann_custom_victorious_25"	"Tiger is victorious!"
"announcer_ann_custom_victory_01"	"Sinivihreä voittaa!"
"[english]announcer_ann_custom_victory_01"	"Teal victory!"
"announcer_ann_custom_victory_02"	"Keltainen voittaa!"
"[english]announcer_ann_custom_victory_02"	"Yellow victory!"
"announcer_ann_custom_victory_03"	"Vaaleanpunainen voittaa!"
"[english]announcer_ann_custom_victory_03"	"Pink victory!"
"announcer_ann_custom_victory_04"	"Oranssi voittaa!"
"[english]announcer_ann_custom_victory_04"	"Orange victory!"
"announcer_ann_custom_victory_05"	"Purppura voittaa!"
"[english]announcer_ann_custom_victory_05"	"Purple victory!"
"announcer_ann_custom_victory_06"	"Sininen voittaa!"
"[english]announcer_ann_custom_victory_06"	"Blue victory!"
"announcer_ann_custom_victory_07"	"Oliivinvihreä voittaa!"
"[english]announcer_ann_custom_victory_07"	"Olive victory!"
"announcer_ann_custom_victory_08"	"Ruskea voittaa!"
"[english]announcer_ann_custom_victory_08"	"Brown victory!"
"announcer_ann_custom_victory_09"	"Syaani voittaa!"
"[english]announcer_ann_custom_victory_09"	"Cyan victory!"
"announcer_ann_custom_victory_10"	"Vihreä voittaa!"
"[english]announcer_ann_custom_victory_10"	"Green victory!"
"announcer_ann_custom_victory_11"	"Harmaa voittaa!"
"[english]announcer_ann_custom_victory_11"	"Grey victory!"
"announcer_ann_custom_victory_12"	"Hopea voittaa!"
"[english]announcer_ann_custom_victory_12"	"Silver victory!"
"announcer_ann_custom_victory_13"	"Punainen voittaa!"
"[english]announcer_ann_custom_victory_13"	"Red victory!"
"announcer_ann_custom_victory_14"	"Sika voittaa!"
"[english]announcer_ann_custom_victory_14"	"Boar victory!"
"announcer_ann_custom_victory_15"	"Koira voittaa!"
"[english]announcer_ann_custom_victory_15"	"Dog victory!"
"announcer_ann_custom_victory_16"	"Lohikäärme voittaa!"
"[english]announcer_ann_custom_victory_16"	"Dragon victory!"
"announcer_ann_custom_victory_17"	"Hevonen voittaa!"
"[english]announcer_ann_custom_victory_17"	"Horse victory!"
"announcer_ann_custom_victory_18"	"Apina voittaa!"
"[english]announcer_ann_custom_victory_18"	"Monkey victory!"
"announcer_ann_custom_victory_19"	"Härkä voittaa!"
"[english]announcer_ann_custom_victory_19"	"Ox victory!"
"announcer_ann_custom_victory_20"	"Jänis voittaa!"
"[english]announcer_ann_custom_victory_20"	"Rabbit victory!"
"announcer_ann_custom_victory_21"	"Vuohi voittaa!"
"[english]announcer_ann_custom_victory_21"	"Ram victory!"
"announcer_ann_custom_victory_22"	"Rotta voittaa!"
"[english]announcer_ann_custom_victory_22"	"Rat victory!"
"announcer_ann_custom_victory_23"	"Kukko voittaa!"
"[english]announcer_ann_custom_victory_23"	"Rooster victory!"
"announcer_ann_custom_victory_24"	"Käärme voittaa!"
"[english]announcer_ann_custom_victory_24"	"Snake victory!"
"announcer_ann_custom_victory_25"	"Tiikeri voittaa!"
"[english]announcer_ann_custom_victory_25"	"Tiger victory!"
"announcer_announcer_scan_rad_01"	"Radiant etsii vihollisia."
"[english]announcer_announcer_scan_rad_01"	"Radiant are scanning for enemies."
"announcer_announcer_scan_dire_01"	"Dire etsii vihollisia."
"[english]announcer_announcer_scan_dire_01"	"Dire are scanning for enemies."
"announcer_ann_ti6_teamnameban_01"	"OG:n kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_01"	"OG's turn to ban."
"announcer_ann_ti6_teamnameban_02"	"Team Liquidin kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_02"	"Team Liquid's turn to ban."
"announcer_ann_ti6_teamnameban_03"	"Liquidin kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_03"	"Liquid's turn to ban. "
"announcer_ann_ti6_teamnameban_04"	"NewBeen kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_04"	"NewBee's turn to ban."
"announcer_ann_ti6_teamnameban_05"	"LGD:n kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_05"	"LGD's turn to ban."
"announcer_ann_ti6_teamnameban_06"	"LGD Gamingin kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_06"	"LGD Gaming's turn to ban."
"announcer_ann_ti6_teamnameban_07"	"MVP Phoenixin kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_07"	"MVP Phoenix's turn to ban."
"announcer_ann_ti6_teamnameban_08"	"MVP:n kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_08"	"MVP's turn to ban."
"announcer_ann_ti6_teamnameban_09"	"Na'Vin kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_09"	"Na'Vi's turn to ban. "
"announcer_ann_ti6_teamnameban_10"	"Natus Vinceren kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_10"	"Natus Vincere's turn to ban."
"announcer_ann_ti6_teamnameban_11"	"Team Secretin kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_11"	"Team Secret's turn to ban."
"announcer_ann_ti6_teamnameban_12"	"Secretin kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_12"	"Secret's turn to ban."
"announcer_ann_ti6_teamnameban_13"	"Alliancen kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_13"	"Alliance's turn to ban."
"announcer_ann_ti6_teamnameban_14"	"Wings Gamingin kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_14"	"Wings Gaming's turn to ban."
"announcer_ann_ti6_teamnameban_15"	"Vici Gaming Rebornin kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_15"	"Vici Gaming Reborn's turn to ban."
"announcer_ann_ti6_teamnameban_16"	"VGR:n kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_16"	"VGR's turn to ban."
"announcer_ann_ti6_teamnameban_17"	"TNC Pro Teamin kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_17"	"TNC Pro Team's turn to ban."
"announcer_ann_ti6_teamnameban_18"	"TNC:n kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_18"	"TNC's turn to ban."
"announcer_ann_ti6_teamnameban_19"	"Fnaticin kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_19"	"Fnatic's turn to ban."
"announcer_ann_ti6_teamnameban_20"	"Evil Geniusesin kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_20"	"Evil Geniuses' turn to ban."
"announcer_ann_ti6_teamnameban_21"	"EG:n kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_21"	"EG's turn to ban."
"announcer_ann_ti6_teamnameban_22"	"DC:n kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_22"	"DC's turn to ban."
"announcer_ann_ti6_teamnameban_23"	"Complexity Gamingin kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_23"	"Complexity Gaming's turn to ban."
"announcer_ann_ti6_teamnameban_24"	"Complexityn kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_24"	"Complexity's turn to ban."
"announcer_ann_ti6_teamnameban_25"	"EHOMEn kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_25"	"EHOME's turn to ban."
"announcer_ann_ti6_teamnameban_26"	"Escape Gamingin kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_26"	"Escape Gaming's turn to ban."
"announcer_ann_ti6_teamnameban_27"	"Execrationin kieltovuoro."
"[english]announcer_ann_ti6_teamnameban_27"	"Execration's turn to ban. "
"announcer_ann_ti6_teamnamepick_01"	"OG:n valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_01"	"OG's turn to pick."
"announcer_ann_ti6_teamnamepick_02"	"Team Liquidin valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_02"	"Team Liquid's turn to pick."
"announcer_ann_ti6_teamnamepick_03"	"Liquidin valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_03"	"Liquid's turn to pick. "
"announcer_ann_ti6_teamnamepick_04"	"NewBeen valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_04"	"NewBee's turn to pick."
"announcer_ann_ti6_teamnamepick_05"	"LGD:n valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_05"	"LGD's turn to pick."
"announcer_ann_ti6_teamnamepick_06"	"LGD Gamingin valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_06"	"LGD Gaming's turn to pick."
"announcer_ann_ti6_teamnamepick_07"	"MVP Phoenixin valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_07"	"MVP Phoenix's turn to pick."
"announcer_ann_ti6_teamnamepick_08"	"MVP:n valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_08"	"MVP's turn to pick."
"announcer_ann_ti6_teamnamepick_09"	"Na'Vin valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_09"	"Na'Vi's turn to pick. "
"announcer_ann_ti6_teamnamepick_10"	"Natus Vinceren valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_10"	"Natus Vincere's turn to pick."
"announcer_ann_ti6_teamnamepick_11"	"Team Secretin valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_11"	"Team Secret's turn to pick."
"announcer_ann_ti6_teamnamepick_12"	"Secretin valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_12"	"Secret's turn to pick."
"announcer_ann_ti6_teamnamepick_13"	"Alliancen valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_13"	"Alliance's turn to pick."
"announcer_ann_ti6_teamnamepick_14"	"Wings Gamingin valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_14"	"Wings Gaming's turn to pick."
"announcer_ann_ti6_teamnamepick_15"	"Vici Gaming Rebornin valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_15"	"Vici Gaming Reborn's turn to pick."
"announcer_ann_ti6_teamnamepick_16"	"VGR:n valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_16"	"VGR's turn to pick."
"announcer_ann_ti6_teamnamepick_17"	"TNC Pro Teamin valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_17"	"TNC Pro Team's turn to pick."
"announcer_ann_ti6_teamnamepick_18"	"TNC:n valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_18"	"TNC's turn to pick."
"announcer_ann_ti6_teamnamepick_19"	"Fnaticin valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_19"	"Fnatic's turn to pick."
"announcer_ann_ti6_teamnamepick_20"	"Evil Geniusesin valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_20"	"Evil Geniuses' turn to pick."
"announcer_ann_ti6_teamnamepick_21"	"EG:n valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_21"	"EG's turn to pick."
"announcer_ann_ti6_teamnamepick_22"	"DC:n valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_22"	"DC's turn to pick."
"announcer_ann_ti6_teamnamepick_23"	"Complexity Gamingin valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_23"	"Complexity Gaming's turn to pick."
"announcer_ann_ti6_teamnamepick_24"	"Complexityn valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_24"	"Complexity's turn to pick."
"announcer_ann_ti6_teamnamepick_25"	"EHOMEn valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_25"	"EHOME's turn to pick."
"announcer_ann_ti6_teamnamepick_26"	"Escape Gamingin valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_26"	"Escape Gaming's turn to pick."
"announcer_ann_ti6_teamnamepick_27"	"Execrationin valintavuoro."
"[english]announcer_ann_ti6_teamnamepick_27"	"Execration's turn to pick. "
"announcer_ann_ti6_teamnamewin_01"	"Voittaja: OG!"
"[english]announcer_ann_ti6_teamnamewin_01"	"OG victory!"
"announcer_ann_ti6_teamnamewin_02"	"Voittaja: Team Liquid!"
"[english]announcer_ann_ti6_teamnamewin_02"	"Team Liquid victory!"
"announcer_ann_ti6_teamnamewin_03"	"Voittaja: Liquid!"
"[english]announcer_ann_ti6_teamnamewin_03"	"Liquid victory!"
"announcer_ann_ti6_teamnamewin_04"	"Voittaja: NewBee!"
"[english]announcer_ann_ti6_teamnamewin_04"	"NewBee victory!"
"announcer_ann_ti6_teamnamewin_05"	"Voittaja: LGD Gaming!"
"[english]announcer_ann_ti6_teamnamewin_05"	"LGD Gaming victory!"
"announcer_ann_ti6_teamnamewin_06"	"Voittaja: LGD!"
"[english]announcer_ann_ti6_teamnamewin_06"	"LGD victory!"
"announcer_ann_ti6_teamnamewin_07"	"Voittaja: MVP Phoenix!"
"[english]announcer_ann_ti6_teamnamewin_07"	"MVP Phoenix victory!"
"announcer_ann_ti6_teamnamewin_08"	"Voittaja: MVP!"
"[english]announcer_ann_ti6_teamnamewin_08"	"MVP victory!"
"announcer_ann_ti6_teamnamewin_09"	"Voittaja: Na'Vi!"
"[english]announcer_ann_ti6_teamnamewin_09"	"Na'Vi victory!"
"announcer_ann_ti6_teamnamewin_10"	"Voittaja: Natus Vincere!"
"[english]announcer_ann_ti6_teamnamewin_10"	"Natus Vincere victory!"
"announcer_ann_ti6_teamnamewin_11"	"Voittaja: Team Secret!"
"[english]announcer_ann_ti6_teamnamewin_11"	"Team Secret victory!"
"announcer_ann_ti6_teamnamewin_12"	"Voittaja: Secret!"
"[english]announcer_ann_ti6_teamnamewin_12"	"Secret victory!"
"announcer_ann_ti6_teamnamewin_13"	"Voittaja: Alliance!"
"[english]announcer_ann_ti6_teamnamewin_13"	"Alliance victory!"
"announcer_ann_ti6_teamnamewin_14"	"Voittaja: Wings Gaming!"
"[english]announcer_ann_ti6_teamnamewin_14"	"Wings Gaming victory!"
"announcer_ann_ti6_teamnamewin_15"	"Voittaja: Wings!"
"[english]announcer_ann_ti6_teamnamewin_15"	"Wings victory!"
"announcer_ann_ti6_teamnamewin_16"	"Voittaja: Vici Gaming Reborn!"
"[english]announcer_ann_ti6_teamnamewin_16"	"Vici Gaming Reborn victory!"
"announcer_ann_ti6_teamnamewin_17"	"Voittaja: VGR!"
"[english]announcer_ann_ti6_teamnamewin_17"	"VGR victory!"
"announcer_ann_ti6_teamnamewin_18"	"Voittaja: TNC Pro Team!"
"[english]announcer_ann_ti6_teamnamewin_18"	"TNC Pro Team victory!"
"announcer_ann_ti6_teamnamewin_19"	"Voittaja: TNC!"
"[english]announcer_ann_ti6_teamnamewin_19"	"TNC victory!"
"announcer_ann_ti6_teamnamewin_20"	"Voittaja: Fnatic!"
"[english]announcer_ann_ti6_teamnamewin_20"	"Fnatic victory!"
"announcer_ann_ti6_teamnamewin_21"	"Voittaja: Evil Geniuses!"
"[english]announcer_ann_ti6_teamnamewin_21"	"Evil Geniuses victory!"
"announcer_ann_ti6_teamnamewin_22"	"Voittaja: EG!"
"[english]announcer_ann_ti6_teamnamewin_22"	"EG victory!"
"announcer_ann_ti6_teamnamewin_23"	"Voittaja: Digital Chaos!"
"[english]announcer_ann_ti6_teamnamewin_23"	"Digital Chaos victory!"
"announcer_ann_ti6_teamnamewin_24"	"Voittaja: DC!"
"[english]announcer_ann_ti6_teamnamewin_24"	"DC victory!"
"announcer_ann_ti6_teamnamewin_25"	"Voittaja: Complexity Gaming!"
"[english]announcer_ann_ti6_teamnamewin_25"	"Complexity Gaming victory!"
"announcer_ann_ti6_teamnamewin_26"	"Voittaja: Complexity!"
"[english]announcer_ann_ti6_teamnamewin_26"	"Complexity victory!"
"announcer_ann_ti6_teamnamewin_27"	"Voittaja: EHOME!"
"[english]announcer_ann_ti6_teamnamewin_27"	"EHOME victory!"
"announcer_ann_ti6_teamnamewin_28"	"Voittaja: Escape Gaming!"
"[english]announcer_ann_ti6_teamnamewin_28"	"Escape Gaming victory!"
"announcer_ann_ti6_teamnamewin_29"	"Voittaja: Execration!"
"[english]announcer_ann_ti6_teamnamewin_29"	"Execration victory!"
"announcer_ann_ti6_teamname_01"	"OG"
"[english]announcer_ann_ti6_teamname_01"	"OG"
"announcer_ann_ti6_teamname_02"	"Team Liquid"
"[english]announcer_ann_ti6_teamname_02"	"Team Liquid"
"announcer_ann_ti6_teamname_03"	"Liquid"
"[english]announcer_ann_ti6_teamname_03"	"Liquid"
"announcer_ann_ti6_teamname_04"	"NewBee"
"[english]announcer_ann_ti6_teamname_04"	"NewBee"
"announcer_ann_ti6_teamname_05"	"LGD Gaming"
"[english]announcer_ann_ti6_teamname_05"	"LGD Gaming"
"announcer_ann_ti6_teamname_06"	"LGD"
"[english]announcer_ann_ti6_teamname_06"	"LGD"
"announcer_ann_ti6_teamname_07"	"MVP Phoenix"
"[english]announcer_ann_ti6_teamname_07"	"MVP Phoenix"
"announcer_ann_ti6_teamname_08"	"MVP"
"[english]announcer_ann_ti6_teamname_08"	"MVP"
"announcer_ann_ti6_teamname_09"	"Na'Vi"
"[english]announcer_ann_ti6_teamname_09"	"Na'Vi"
"announcer_ann_ti6_teamname_10"	"Natus Vincere"
"[english]announcer_ann_ti6_teamname_10"	"Natus Vincere"
"announcer_ann_ti6_teamname_11"	"Team Secret"
